row_index,fecha,departamento,actual_multifatal,raw_probability,raw_threshold,raw_prediction,calibration_method,calibrated_probability,calibrated_threshold,calibrated_prediction
6981,2024-01-25,LA LIBERTAD,0,0.072485685,0.8,0,platt,0.048907185787374026,0.3,0
6982,2024-01-25,LIMA,0,0.0025366198,0.8,0,platt,0.007099533978275552,0.3,0
6983,2024-01-25,CUSCO,0,0.00043595486,0.8,0,platt,0.002583153919948624,0.3,0
6984,2024-01-25,LIMA,0,1.0016557e-05,0.8,0,platt,0.0002945457775821565,0.3,0
6985,2024-01-25,LIMA,0,0.04201202,0.8,0,platt,0.03555504021485796,0.3,0
6986,2024-01-25,AREQUIPA,0,4.0914896e-05,0.8,0,platt,0.000662252869697386,0.3,0
6987,2024-01-26,AYACUCHO,0,0.00276055,0.8,0,platt,0.007452356584910253,0.3,0
6988,2024-01-26,LIMA,0,0.06622545,0.8,0,platt,0.046371564064212334,0.3,0
6989,2024-01-26,LIMA,1,0.83150655,0.8,1,platt,0.3589446534621832,0.3,1
6990,2024-01-26,AREQUIPA,0,0.0028258623,0.8,0,platt,0.007552928673458834,0.3,0
6991,2024-01-26,ICA,0,3.7876578e-06,0.8,0,platt,0.0001682435803438661,0.3,0
6992,2024-01-27,CALLAO,0,0.004072588,0.8,0,platt,0.009312755570779298,0.3,0
6993,2024-01-27,PUNO,0,0.7239281,0.8,0,platt,0.28006241287367606,0.3,0
6994,2024-01-28,AREQUIPA,0,0.005148007,0.8,0,platt,0.010650724567044008,0.3,0
6995,2024-01-28,ICA,0,0.00017188443,0.8,0,platt,0.0015126292731483123,0.3,0
6996,2024-01-28,CUSCO,0,0.0023378672,0.8,0,platt,0.00677503333624635,0.3,0
6997,2024-01-28,PUNO,0,0.7289466,0.8,0,platt,0.2830046577598059,0.3,0
6998,2024-01-28,LIMA,0,0.0003321318,0.8,0,platt,0.0022092501928779743,0.3,0
6999,2024-01-28,LA LIBERTAD,1,0.4937512,0.8,0,platt,0.18037325094703385,0.3,0
7000,2024-01-28,TUMBES,0,6.204269e-05,0.8,0,platt,0.0008415797076178858,0.3,0
7001,2024-01-29,PASCO,0,0.54033166,0.8,0,platt,0.19681856212841034,0.3,0
7002,2024-01-30,HUANCAVELICA,0,0.001079064,0.8,0,platt,0.004347652214855685,0.3,0
7003,2024-01-30,CALLAO,0,0.0012060959,0.8,0,platt,0.004634487316440773,0.3,0
7004,2024-01-30,AMAZONAS,0,0.0022412308,0.8,0,platt,0.00661299670275073,0.3,0
7005,2024-01-30,CAJAMARCA,0,0.00089241826,0.8,0,platt,0.0038984959980093176,0.3,0
7006,2024-01-30,ICA,0,0.8737402,0.8,1,platt,0.4048718192374163,0.3,1
7007,2024-01-30,TUMBES,0,0.0011467524,0.8,0,platt,0.0045021854264698105,0.3,0
7008,2024-01-30,LIMA,0,0.026863718,0.8,0,platt,0.027462753367102015,0.3,0
7009,2024-01-31,TACNA,0,8.468828e-05,0.8,0,platt,0.0010066166968298227,0.3,0
7010,2024-01-31,ICA,0,0.7091153,0.8,0,platt,0.27167035896429104,0.3,0
7011,2024-01-31,ICA,0,0.000638793,0.8,0,platt,0.0032173041734034516,0.3,0
7012,2024-01-31,LIMA,0,0.12689596,0.8,0,platt,0.06847684480051747,0.3,0
7013,2024-01-31,LIMA,0,0.0017698306,0.8,0,platt,0.005775315866813869,0.3,0
7014,2024-01-31,LIMA,0,0.040517855,0.8,0,platt,0.03481650044608473,0.3,0
7015,2024-02-01,LIMA,0,1.644808e-06,0.8,0,platt,0.00010406643631092282,0.3,0
7016,2024-02-01,LIMA,0,0.0026058098,0.8,0,platt,0.007209924004903136,0.3,0
7017,2024-02-01,AYACUCHO,0,0.83924294,0.8,1,platt,0.3664352481769448,0.3,1
7018,2024-02-01,AREQUIPA,0,0.23896421,0.8,0,platt,0.10278747134571597,0.3,0
7019,2024-02-01,LA LIBERTAD,0,0.00771766,0.8,0,platt,0.01343042724331188,0.3,0
7020,2024-02-01,CAJAMARCA,0,0.022959797,0.8,0,platt,0.025091061378944297,0.3,0
7021,2024-02-01,CAJAMARCA,0,0.0013666525,0.8,0,platt,0.004979136575629288,0.3,0
7022,2024-02-02,LIMA,0,0.0029913434,0.8,0,platt,0.007803384603315682,0.3,0
7023,2024-02-03,LIMA,0,0.022744618,0.8,0,platt,0.024955646585584555,0.3,0
7024,2024-02-03,AREQUIPA,0,0.99837136,0.8,1,platt,0.900024201088192,0.3,1
7025,2024-02-03,LIMA,0,3.3069302e-06,0.8,0,platt,0.00015559362872560122,0.3,0
7026,2024-02-03,LIMA,0,0.004457852,0.8,0,platt,0.009807729708958294,0.3,0
7027,2024-02-03,ICA,0,0.07994183,0.8,0,platt,0.051826143579430606,0.3,0
7028,2024-02-03,CUSCO,0,1.035132e-05,0.8,0,platt,0.00030017463518699,0.3,0
7029,2024-02-04,CUSCO,0,0.01662211,0.8,0,platt,0.020844357516245055,0.3,0
7030,2024-02-04,LIMA,0,0.014869243,0.8,0,platt,0.019554135251405043,0.3,0
7031,2024-02-04,CUSCO,0,0.027805815,0.8,0,platt,0.028013201796077376,0.3,0
7032,2024-02-04,LIMA,0,0.048288915,0.8,0,platt,0.03855023367371302,0.3,0
7033,2024-02-04,AREQUIPA,0,0.9022972,0.8,1,platt,0.4454698003438579,0.3,1
7034,2024-02-04,CUSCO,0,0.0071060327,0.8,0,platt,0.01281016072953015,0.3,0
