rank,feature,raw_variable_group,mean_abs_shap,mean_signed_shap,positive_contribution_share
69,departamento_cajamarca,DEPARTAMENTO / REGION_NATURAL,0.002236100166,-0.0005231270892,0.892578125
70,departamento_ancash,DEPARTAMENTO / REGION_NATURAL,0.002192278995,-0.0007022786886,0.0625
71,edad_faltante,EDAD INVOLUCRADOS,0.002130406197,-0.0003237396207,0.060546875
72,departamento_ica,DEPARTAMENTO / REGION_NATURAL,0.001937403939,0.0005872932715,0.736328125
73,tipo_via_carretera,TIPO_VIA,0.001918643189,-5.956519651e-05,0.61328125
74,departamento_huancavelica,DEPARTAMENTO / REGION_NATURAL,0.001825985754,-6.914532647e-05,0.7940552017
75,road_network_class_provincial__choque,RED_VIAL × CLASE,0.001795066782,-0.0003464895772,0.9724576271
76,via_prefijo_lm,CODIGO_VIA,0.001679981658,0.0004637358282,0.9913793103
77,red_vial_provincial,RED_VIAL,0.001670195433,-1.231490482e-05,0.65625
78,road_type_zone_avenida__urbana,TIPO_VIA × ZONA,0.001651911814,-0.000549258168,0.697265625
79,road_network_class_urbano__atropello,RED_VIAL × CLASE,0.001612731557,-0.0005928205328,0.6953125
80,red_vial_desconocido,RED_VIAL,0.001589969242,-7.962999272e-05,0.087890625
81,departamento_callao,DEPARTAMENTO / REGION_NATURAL,0.001571538794,-0.0004541760337,0.9782082324
82,clima_nublado,CLIMA,0.001564783258,0.001040282512,0.91015625
83,rain_curve,CLIMA × CARACTERISTICA_VIA,0.001554241739,-0.0002249393769,0.9724576271
84,caracteristica_interseccion,CARACTERISTICA_VIA,0.001502342219,0.0002519133787,0.828125
85,road_network_class_urbano__despiste,RED_VIAL × CLASE,0.001485593231,-0.0002189669095,0.9197651663
86,road_network_class_nacional__especial,RED_VIAL × CLASE,0.001470764246,-0.001204816905,0.9763513514
87,departamento_huanuco,DEPARTAMENTO / REGION_NATURAL,0.001462633325,0.0009989409428,0.982421875
88,road_network_class_departamental__atropello,RED_VIAL × CLASE,0.001306459705,0.0003918851631,0.9763948498
89,departamento_puno,DEPARTAMENTO / REGION_NATURAL,0.001287819862,0.0001395468505,0.52734375
90,superficie_afirmado,SUPERFICIE,0.001240901911,0.0001974433448,0.578125
91,via_prefijo_li,CODIGO_VIA,0.001202352056,-0.0001870597212,0.07214428858
92,departamento_pasco,DEPARTAMENTO / REGION_NATURAL,0.001194640176,-0.0006455657166,0.9844357977
93,departamento_loreto,DEPARTAMENTO / REGION_NATURAL,0.001159812102,0.0004500984944,0.9917695473
94,tipo_via_otro,TIPO_VIA,0.001136919922,0.0006625282277,0.9858299595
95,road_network_class_departamental__volcadura,RED_VIAL × CLASE,0.001088952285,0.0009232157637,0.9979079498
96,via_prefijo_cu,CODIGO_VIA,0.001056790287,-0.0001497051494,0.2330677291
97,road_network_class_nacional__volcadura,RED_VIAL × CLASE,0.0009971933883,-0.0002350383097,0.02574257426
98,via_prefijo_ic,CODIGO_VIA,0.0009676719416,0.0004363350395,0.99
