row_index,fecha,departamento,actual_multifatal,raw_probability,raw_threshold,raw_prediction,calibration_method,calibrated_probability,calibrated_threshold,calibrated_prediction,error_type,distance_to_threshold
7915,2024-08-25,LA LIBERTAD,0,0.66271466,0.65,1,platt,0.2027563321183835,0.2,1,false_positive,0.0027563321183834977
8409,2024-12-27,APURIMAC,0,0.6627208,0.65,1,platt,0.20276036841927567,0.2,1,false_positive,0.002760368419275655
7423,2024-05-04,LIMA,0,0.6628156,0.65,1,platt,0.20282268854599889,0.2,1,false_positive,0.002822688545998875
8748,2025-03-30,CAJAMARCA,0,0.6630061,0.65,1,platt,0.2029480644093216,0.2,1,false_positive,0.002948064409321577
8285,2024-11-25,AYACUCHO,0,0.6631707,0.65,1,platt,0.20305641633435378,0.2,1,false_positive,0.003056416334353773
7355,2024-04-15,AYACUCHO,0,0.6638849,0.65,1,platt,0.203527437034352,0.2,1,false_positive,0.003527437034351988
7857,2024-08-11,CAJAMARCA,0,0.6642266,0.65,1,platt,0.20375326771269114,0.2,1,false_positive,0.003753267712691133
7838,2024-08-07,CUSCO,0,0.66482985,0.65,1,platt,0.20415268092731706,0.2,1,false_positive,0.004152680927317048
7831,2024-08-05,CAJAMARCA,0,0.6656938,0.65,1,platt,0.20472634553315944,0.2,1,false_positive,0.004726345533159426
8850,2025-06-01,CAJAMARCA,0,0.6660509,0.65,1,platt,0.2049640148139741,0.2,1,false_positive,0.004964014813974099
7950,2024-08-31,AYACUCHO,0,0.6661817,0.65,1,platt,0.2050511360291433,0.2,1,false_positive,0.005051136029143283
7148,2024-02-29,AREQUIPA,0,0.6662122,0.65,1,platt,0.20507147336459952,0.2,1,false_positive,0.00507147336459951
7194,2024-03-11,CUSCO,0,0.66634274,0.65,1,platt,0.20515849051053436,0.2,1,false_positive,0.005158490510534353
8374,2024-12-20,LA LIBERTAD,0,0.6663956,0.65,1,platt,0.20519374707156374,0.2,1,false_positive,0.005193747071563726
7365,2024-04-21,LA LIBERTAD,0,0.6665228,0.65,1,platt,0.20527859936121307,0.2,1,false_positive,0.005278599361213054
8714,2025-03-21,AREQUIPA,0,0.6678883,0.65,1,platt,0.2061921742982755,0.2,1,false_positive,0.006192174298275482
8992,2025-09-05,AREQUIPA,0,0.6678936,0.65,1,platt,0.20619573301762797,0.2,1,false_positive,0.0061957330176279635
7279,2024-03-29,LA LIBERTAD,0,0.6678986,0.65,1,platt,0.20619909187684954,0.2,1,false_positive,0.006199091876849527
8038,2024-09-21,LA LIBERTAD,0,0.66798323,0.65,1,platt,0.20625588257643102,0.2,1,false_positive,0.006255882576431004
6924,2024-01-13,LIMA,0,0.6684615,0.65,1,platt,0.20657714470820332,0.2,1,false_positive,0.0065771447082033085
8311,2024-12-02,CAJAMARCA,0,0.6691622,0.65,1,platt,0.20704891865932804,0.2,1,false_positive,0.007048918659328024
8443,2025-01-04,CUSCO,0,0.6696478,0.65,1,platt,0.20737662536361653,0.2,1,false_positive,0.0073766253636165235
8055,2024-09-26,LA LIBERTAD,0,0.6698105,0.65,1,platt,0.20748653743884227,0.2,1,false_positive,0.007486537438842256
8308,2024-12-02,LA LIBERTAD,0,0.6699001,0.65,1,platt,0.2075471420370507,0.2,1,false_positive,0.0075471420370507025
8173,2024-10-28,PUNO,0,0.66992795,0.65,1,platt,0.20756596444395198,0.2,1,false_positive,0.007565964443951967
7645,2024-06-23,CUSCO,0,0.6705071,0.65,1,platt,0.2079580362347508,0.2,1,false_positive,0.007958036234750776
8159,2024-10-26,CUSCO,0,0.67082834,0.65,1,platt,0.20817592676043906,0.2,1,false_positive,0.008175926760439045
8969,2025-08-23,AREQUIPA,0,0.6714269,0.65,1,platt,0.20858261258377836,0.2,1,false_positive,0.008582612583778348
8764,2025-04-04,HUANCAVELICA,0,0.67144144,0.65,1,platt,0.20859250619739816,0.2,1,false_positive,0.008592506197398153
8924,2025-07-13,CAJAMARCA,0,0.67186195,0.65,1,platt,0.20887881588239884,0.2,1,false_positive,0.008878815882398833
7468,2024-05-14,LA LIBERTAD,0,0.67241836,0.65,1,platt,0.20925838733745006,0.2,1,false_positive,0.009258387337450047
8471,2025-01-11,LA LIBERTAD,0,0.672476,0.65,1,platt,0.2092977545024589,0.2,1,false_positive,0.0092977545024589
8847,2025-05-30,CUSCO,0,0.6726511,0.65,1,platt,0.20941741751583162,0.2,1,false_positive,0.009417417515831611
8953,2025-08-03,CUSCO,0,0.6737994,0.65,1,platt,0.21020413468865984,0.2,1,false_positive,0.010204134688659827
8640,2025-02-25,LA LIBERTAD,0,0.67400956,0.65,1,platt,0.2103485137940759,0.2,1,false_positive,0.010348513794075892
